,name,NaN Count
374,customer_vehicle_relationships__vehiclegroup35__terminated_cars,178
375,customer_vehicle_relationships__vehiclegroup35__active_cars,178
376,customer_vehicle_relationships__vehiclegroup40__terminated_cars,105
377,customer_vehicle_relationships__vehiclegroup40__active_cars,105
378,customer_vehicle_relationships__vehiclegroup41__terminated_cars,221
379,customer_vehicle_relationships__vehiclegroup41__active_cars,221
380,customer_vehicle_relationships__vehiclegroup42__terminated_cars,93
381,customer_vehicle_relationships__vehiclegroup42__active_cars,93
382,customer_vehicle_relationships__vehiclegroup44__terminated_cars,153
383,customer_vehicle_relationships__vehiclegroup44__active_cars,153
384,customer_vehicle_relationships__vehiclegroup45__terminated_cars,123
385,customer_vehicle_relationships__vehiclegroup45__active_cars,123
386,customer_vehicle_relationships__vehiclegroup47__terminated_cars,236
387,customer_vehicle_relationships__vehiclegroup47__active_cars,236
388,customer_vehicle_relationships__vehiclegroup48__terminated_cars,194
389,customer_vehicle_relationships__vehiclegroup48__active_cars,194
390,customer_vehicle_relationships__vehiclegroup50__terminated_cars,190
391,customer_vehicle_relationships__vehiclegroup50__active_cars,190
392,customer_vehicle_relationships__vehiclegroup51__terminated_cars,167
393,customer_vehicle_relationships__vehiclegroup51__active_cars,167
394,customer_vehicle_relationships__vehiclegroup53__terminated_cars,167
395,customer_vehicle_relationships__vehiclegroup53__active_cars,167
396,customer_vehicle_relationships__vehiclegroup54__terminated_cars,167
397,customer_vehicle_relationships__vehiclegroup54__active_cars,167
398,customer_vehicle_relationships__vehiclegroup56__terminated_cars,122
399,customer_vehicle_relationships__vehiclegroup56__active_cars,122
400,customer_vehicle_relationships__vehiclegroup57__terminated_cars,137
401,customer_vehicle_relationships__vehiclegroup57__active_cars,137
402,customer_vehicle_relationships__vehiclegroup58__terminated_cars,201
403,customer_vehicle_relationships__vehiclegroup58__active_cars,201
404,customer_vehicle_relationships__vehiclegroup59__terminated_cars,143
405,customer_vehicle_relationships__vehiclegroup59__active_cars,143
406,customer_vehicle_relationships__vehiclegroup60__terminated_cars,110
407,customer_vehicle_relationships__vehiclegroup60__active_cars,110
408,customer_vehicle_relationships__vehiclegroup61__terminated_cars,198
409,customer_vehicle_relationships__vehiclegroup61__active_cars,198
410,customer_vehicle_relationships__vehiclegroup62__terminated_cars,134
411,customer_vehicle_relationships__vehiclegroup62__active_cars,134
412,customer_vehicle_relationships__vehiclegroup63__terminated_cars,111
413,customer_vehicle_relationships__vehiclegroup63__active_cars,111
414,customer_vehicle_relationships__vehiclegroup64__terminated_cars,206
415,customer_vehicle_relationships__vehiclegroup64__active_cars,206
416,leads__vehiclegroup01__won,59
417,leads__vehiclegroup01__first_touch_point,59
418,leads__vehiclegroup01__lost,59
419,leads__vehiclegroup02__won,63
420,leads__vehiclegroup02__first_touch_point,63
421,leads__vehiclegroup02__lost,63
422,leads__vehiclegroup03__won,62
423,leads__vehiclegroup03__first_touch_point,62
424,leads__vehiclegroup03__lost,62
425,leads__vehiclegroup04__won,66
426,leads__vehiclegroup04__first_touch_point,66
427,leads__vehiclegroup04__lost,66
428,leads__vehiclegroup05__won,103
429,leads__vehiclegroup05__first_touch_point,103
430,leads__vehiclegroup05__lost,103
431,leads__vehiclegroup06__won,80
432,leads__vehiclegroup06__first_touch_point,80
433,leads__vehiclegroup06__lost,80
434,leasing_contracts__vehiclegroup04__end,70
435,leasing_contracts__vehiclegroup04__start,70
436,leasing_contracts__vehiclegroup05__end,169
437,leasing_contracts__vehiclegroup05__start,169
438,leasing_contracts__vehiclegroup06__end,116
439,leasing_contracts__vehiclegroup06__start,116
440,leasing_contracts__vehiclegroup09__end,197
441,leasing_contracts__vehiclegroup09__start,197
442,leasing_contracts__vehiclegroup10__end,76
443,leasing_contracts__vehiclegroup10__start,76
444,leasing_contracts__vehiclegroup11__end,142
445,leasing_contracts__vehiclegroup11__start,142
446,leasing_contracts__vehiclegroup12__end,70
447,leasing_contracts__vehiclegroup12__start,70
448,leasing_contracts__vehiclegroup19__end,73
449,leasing_contracts__vehiclegroup19__start,73
450,leasing_contracts__vehiclegroup20__end,198
451,leasing_contracts__vehiclegroup20__start,198
452,leasing_contracts__vehiclegroup21__end,169
453,leasing_contracts__vehiclegroup21__start,169
454,leasing_contracts__vehiclegroup22__end,171
455,leasing_contracts__vehiclegroup22__start,171
456,leasing_contracts__vehiclegroup23__end,124
457,leasing_contracts__vehiclegroup23__start,124
458,leasing_contracts__vehiclegroup24__end,116
459,leasing_contracts__vehiclegroup24__start,116
460,leasing_contracts__vehiclegroup25__end,116
461,leasing_contracts__vehiclegroup25__start,116
462,leasing_contracts__vehiclegroup27__end,173
463,leasing_contracts__vehiclegroup27__start,173
464,leasing_contracts__vehiclegroup29__end,197
465,leasing_contracts__vehiclegroup29__start,197
466,leasing_contracts__vehiclegroup30__end,76
467,leasing_contracts__vehiclegroup30__start,76
468,leasing_contracts__vehiclegroup31__end,174
469,leasing_contracts__vehiclegroup31__start,174
470,leasing_contracts__vehiclegroup32__end,142
471,leasing_contracts__vehiclegroup32__start,142
472,leasing_contracts__vehiclegroup33__end,70
473,leasing_contracts__vehiclegroup33__start,70
474,leasing_contracts__vehiclegroup35__end,179
475,leasing_contracts__vehiclegroup35__start,179
476,leasing_contracts__vehiclegroup40__end,106
477,leasing_contracts__vehiclegroup40__start,106
478,leasing_contracts__vehiclegroup41__end,224
479,leasing_contracts__vehiclegroup41__start,224
480,leasing_contracts__vehiclegroup42__end,92
481,leasing_contracts__vehiclegroup42__start,92
482,leasing_contracts__vehiclegroup44__end,155
483,leasing_contracts__vehiclegroup44__start,155
484,leasing_contracts__vehiclegroup45__end,127
485,leasing_contracts__vehiclegroup45__start,127
486,leasing_contracts__vehiclegroup47__end,239
487,leasing_contracts__vehiclegroup47__start,239
488,leasing_contracts__vehiclegroup48__end,198
489,leasing_contracts__vehiclegroup48__start,198
490,leasing_contracts__vehiclegroup50__end,194
491,leasing_contracts__vehiclegroup50__start,194
492,leasing_contracts__vehiclegroup51__end,170
493,leasing_contracts__vehiclegroup51__start,170
494,leasing_contracts__vehiclegroup53__end,170
495,leasing_contracts__vehiclegroup53__start,170
496,leasing_contracts__vehiclegroup54__end,171
497,leasing_contracts__vehiclegroup54__start,171
498,leasing_contracts__vehiclegroup56__end,124
499,leasing_contracts__vehiclegroup56__start,124
500,leasing_contracts__vehiclegroup57__end,139
501,leasing_contracts__vehiclegroup57__start,139
502,leasing_contracts__vehiclegroup58__end,209
503,leasing_contracts__vehiclegroup58__start,209
504,leasing_contracts__vehiclegroup59__end,146
505,leasing_contracts__vehiclegroup59__start,146
506,leasing_contracts__vehiclegroup60__end,116
507,leasing_contracts__vehiclegroup60__start,116
